,Unnamed: 0,WhiteElo,BlackElo,WhiteName,BlackName,Winner,Termination,Site,Day,Month,Year,InitialTime,Increment,TimeControl,Opening,ECO,Number_of_Moves
2812,2812,1905,1931,Vigorito,bert,Black,Normal,https://lichess.org/zaklu5dy,1,1,2013,900,4,Rapid,"Ruy Lopez: Morphy Defense, Modern Steinitz Defense #2",C71,35
2813,2813,1608,1611,morgan1,TEODOR,Black,Normal,https://lichess.org/rkf0m3zh,1,1,2013,600,0,Rapid,"King's Pawn Game: Wayward Queen Attack, Kiddie Countergambit",C20,46
2814,2814,1270,1436,Pollini,flesi01,Black,Normal,https://lichess.org/6ap1usrn,1,1,2013,420,0,Blitz,King's Knight Opening: Normal Variation,C44,24
2815,2815,1736,2162,gigantchess,Ghost_Lombardi,Black,Normal,https://lichess.org/wcw08ufo,1,1,2013,180,0,Blitz,Indian Game,A45,21
2816,2816,1925,1966,kent777,chinekeboy,Black,Time forfeit,https://lichess.org/z9wzj2yr,1,1,2013,180,0,Blitz,King's Indian Defense: Zinnowitz Variation,E90,52
2817,2817,1822,1797,Fisher62,marina1984,Black,Time forfeit,https://lichess.org/ew085z2e,1,1,2013,180,2,Blitz,"Alekhine Defense: Scandinavian Variation, Geschev Gambit",B02,22
2818,2818,1593,1594,UKwildcats,HZ,Black,Time forfeit,https://lichess.org/zg9r7tdi,1,1,2013,480,10,Rapid,Philidor Defense: Exchange Variation #2,C41,42
2819,2819,1602,1132,ChikiPuki,david5527,White,Normal,https://lichess.org/j9jhujqb,1,1,2013,60,0,Bullet,Scandinavian Defense,B01,10
2820,2820,1325,993,6WX,KW-1,White,Normal,https://lichess.org/315gmrt3,1,1,2013,300,2,Blitz,French Defense: Normal Variation,C00,15
2821,2821,1531,1264,snob,did56,Black,Normal,https://lichess.org/jem9m35a,1,1,2013,300,8,Rapid,Sicilian Defense: Bowdler Attack,B20,29
2822,2822,1710,1530,mhy196,Serg11228899,Black,Normal,https://lichess.org/7e9jgxxe,1,1,2013,600,10,Rapid,Three Knights Opening,C46,19
2823,2823,1809,1674,vivelafete,Na_Kol,White,Time forfeit,https://lichess.org/ayvcorhf,1,1,2013,300,0,Blitz,Queen's Pawn Game,D00,15
2824,2824,2165,1299,Ghost_Lombardi,zerbereus,White,Normal,https://lichess.org/rrjeokyn,1,1,2013,180,0,Blitz,King's Indian Attack: Keres Variation #2,A07,19
2825,2825,1298,1298,engineabuser,Pernalonga,Black,Normal,https://lichess.org/r5gkio1h,1,1,2013,300,5,Rapid,Van't Kruijs Opening,A00,23
2826,2826,1592,1651,RoyKopS,Carroll,Black,Normal,https://lichess.org/i7w7j2di,1,1,2013,180,3,Blitz,"French Defense: Advance, Steinitz Variation",C02,25
2827,2827,1538,1607,Serg11228899,mhy196,Black,Normal,https://lichess.org/cbgpp8cc,1,1,2013,600,10,Rapid,Bishop's Opening,C23,26
2828,2828,1334,1500,alexbc,rusli,Black,Normal,https://lichess.org/bgiyvns8,1,1,2013,60,2,Bullet,Hungarian Opening,A00,38
2829,2829,1343,983,6WX,KW-1,White,Normal,https://lichess.org/ztqi5z15,1,1,2013,300,2,Blitz,French Defense: Normal Variation,C00,27
2830,2830,1609,1329,rusli,alexbc,White,Normal,https://lichess.org/fldogr3g,1,1,2013,60,2,Bullet,English Defense #2,A40,44
2831,2831,1789,1694,sonie,nichiren1967,White,Normal,https://lichess.org/tzqufrys,1,1,2013,120,0,Bullet,Italian Game,C50,47
2832,2832,1844,1909,Federico,sakrat,White,Normal,https://lichess.org/5zmqwj2r,1,1,2013,300,0,Blitz,Pirc Defense: Classical Variation,B08,27
2833,2833,1542,1531,mufasa,Tobillo,Black,Normal,https://lichess.org/dzl99a77,1,1,2013,240,3,Blitz,Yusupov-Rubinstein System,A46,41
2834,2834,1568,1412,Andrandand,Pozitiv,White,Normal,https://lichess.org/6bsv8vcc,1,1,2013,840,14,Rapid,King's Pawn Game: Leonardis Variation,C20,25
